datetime,close,high,low,open,volume
2025-09-11 16:42:00+00:00,228.65499877929688,228.65499877929688,228.55999755859375,228.58999633789062,0
2025-09-11 16:43:00+00:00,228.58999633789062,228.64999389648438,228.5800018310547,228.64999389648438,47912
2025-09-11 16:44:00+00:00,228.58999633789062,228.61700439453125,228.52000427246094,228.58999633789062,39301
2025-09-11 16:45:00+00:00,228.6999969482422,228.71499633789062,228.59500122070312,228.59820556640625,55129
2025-09-11 16:46:00+00:00,228.62010192871094,228.7100067138672,228.6199951171875,228.6999969482422,37400
2025-09-11 16:47:00+00:00,228.6300048828125,228.6999969482422,228.62930297851562,228.6300048828125,22130
2025-09-11 16:48:00+00:00,228.57000732421875,228.6300048828125,228.5500030517578,228.6199951171875,35308
2025-09-11 16:49:00+00:00,228.67999267578125,228.72000122070312,228.55499267578125,228.56500244140625,97715
2025-09-11 16:50:00+00:00,228.625,228.6999969482422,228.61000061035156,228.67999267578125,28543
2025-09-11 16:51:00+00:00,228.6199951171875,228.66000366210938,228.5800018310547,228.625,32714
2025-09-11 16:52:00+00:00,228.3426971435547,228.61500549316406,228.33999633789062,228.61500549316406,47159
2025-09-11 16:53:00+00:00,228.4250030517578,228.47999572753906,228.30999755859375,228.34010314941406,39260
2025-09-11 16:54:00+00:00,228.64500427246094,228.64999389648438,228.4250030517578,228.42999267578125,63515
2025-09-11 16:55:00+00:00,228.67999267578125,228.6916046142578,228.5800018310547,228.64500427246094,37551
2025-09-11 16:56:00+00:00,228.6999969482422,228.7899932861328,228.69000244140625,228.69000244140625,58916
2025-09-11 16:57:00+00:00,228.69000244140625,228.75990295410156,228.64999389648438,228.6999969482422,37026
2025-09-11 16:58:00+00:00,228.67999267578125,228.75869750976562,228.6750030517578,228.69000244140625,39679
2025-09-11 16:59:00+00:00,228.75,228.77000427246094,228.6439971923828,228.69000244140625,46155
2025-09-11 17:00:00+00:00,228.88999938964844,228.89999389648438,228.64480590820312,228.75999450683594,176924
2025-09-11 17:01:00+00:00,228.8699951171875,228.93499755859375,228.86000061035156,228.88800048828125,47338
2025-09-11 17:02:00+00:00,228.89999389648438,228.93499755859375,228.8679962158203,228.875,53141
2025-09-11 17:03:00+00:00,228.91009521484375,228.9250030517578,228.8300018310547,228.89999389648438,49902
2025-09-11 17:04:00+00:00,228.9600067138672,228.9698944091797,228.8699951171875,228.91000366210938,83838
2025-09-11 17:05:00+00:00,228.92999267578125,228.97500610351562,228.91000366210938,228.9600067138672,62737
2025-09-11 17:06:00+00:00,228.96499633789062,228.97000122070312,228.9199981689453,228.92999267578125,55786
2025-09-11 17:07:00+00:00,229.02999877929688,229.0399932861328,228.9499969482422,228.99000549316406,113099
2025-09-11 17:08:00+00:00,228.97000122070312,229.00999450683594,228.77999877929688,228.94000244140625,61961
2025-09-11 17:09:00+00:00,229.08999633789062,229.10000610351562,228.97000122070312,228.97000122070312,71634
2025-09-11 17:10:00+00:00,229.08999633789062,229.1199951171875,229.05999755859375,229.09710693359375,48805
2025-09-11 17:11:00+00:00,229.2183074951172,229.22000122070312,229.0885009765625,229.0885009765625,101301
2025-09-11 17:12:00+00:00,229.22500610351562,229.22999572753906,229.17999267578125,229.22000122070312,51300
2025-09-11 17:13:00+00:00,229.22000122070312,229.32640075683594,229.14999389648438,229.2241973876953,150126
2025-09-11 17:14:00+00:00,229.17999267578125,229.27000427246094,229.15499877929688,229.24000549316406,61359
2025-09-11 17:15:00+00:00,229.22000122070312,229.24000549316406,229.1699981689453,229.1800994873047,46436
2025-09-11 17:16:00+00:00,229.32000732421875,229.35000610351562,229.21640014648438,229.22500610351562,80312
2025-09-11 17:17:00+00:00,229.36000061035156,229.3699951171875,229.27999877929688,229.32000732421875,52159
2025-09-11 17:18:00+00:00,229.2550048828125,229.3699951171875,229.25010681152344,229.3699951171875,68425
2025-09-11 17:19:00+00:00,229.21499633789062,229.25999450683594,229.14999389648438,229.25999450683594,54459
2025-09-11 17:20:00+00:00,229.2501983642578,229.32989501953125,229.1699981689453,229.22000122070312,42654
2025-09-11 17:21:00+00:00,229.08009338378906,229.25999450683594,229.06100463867188,229.25999450683594,60777
2025-09-11 17:22:00+00:00,229.25,229.27000427246094,229.0399932861328,229.10000610351562,68762
2025-09-11 17:23:00+00:00,229.2949981689453,229.3199005126953,229.22000122070312,229.25,66034
2025-09-11 17:24:00+00:00,229.30499267578125,229.3800048828125,229.3000030517578,229.30999755859375,77074
2025-09-11 17:25:00+00:00,229.3800048828125,229.39999389648438,229.30499267578125,229.30499267578125,63743
2025-09-11 17:26:00+00:00,229.4149932861328,229.42999267578125,229.375,229.375,93830
2025-09-11 17:27:00+00:00,229.4600067138672,229.4799041748047,229.4199981689453,229.4250030517578,92595
2025-09-11 17:28:00+00:00,229.42999267578125,229.50999450683594,229.4199981689453,229.46499633789062,89287
2025-09-11 17:29:00+00:00,229.47250366210938,229.5399932861328,229.4138946533203,229.4199981689453,75784
2025-09-11 17:30:00+00:00,229.63729858398438,229.64300537109375,229.38999938964844,229.47000122070312,83586
2025-09-11 17:31:00+00:00,229.62440490722656,229.67999267578125,229.61000061035156,229.63999938964844,76695
2025-09-11 17:32:00+00:00,229.52999877929688,229.67999267578125,229.50900268554688,229.6300048828125,97477
2025-09-11 17:33:00+00:00,229.5500030517578,229.58990478515625,229.47000122070312,229.5399932861328,55407
2025-09-11 17:34:00+00:00,229.52639770507812,229.5749969482422,229.49000549316406,229.55999755859375,33465
